* * Math.max - Math.max * * instancia.p[tarea] instancia.d[tarea] + Math.min - * Math.min Math.min null null null null Math.min * instancia.p[tarea] promedioDuraciones() instancia.d[tarea] intervalo.inicio * 0.9 instancia.p[tarea] promedioDuraciones() promedioDuraciones() instancia.p[tarea] null null null null null null null null intervalo.inicio promedioDuraciones() 0.5 instancia.p[tarea] null null null null null null null null 0.9 promedioDuraciones() null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ 0.4 + null null instancia.d[tarea] * null null null null null null * * null null null null null null null null null null null null / / / Math.min null null null null null null null null null null null null null null null null null null null null null null null null instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] instancia.d[tarea] intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ + Math.max - + / promedioDuraciones() promedioDuraciones() instancia.d[tarea] * intervalo.inicio Math.max * null null null null null null 0.4 promedioDuraciones() null null instancia.p[tarea] null + / null null null null null null null null null null null null null null null null null null null null null null null null promedioDuraciones() promedioDuraciones() 0.4 instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- / Math.max * - + instancia.d[tarea] 0.8 * promedioDuraciones() / instancia.p[tarea] intervalo.inicio null null null null promedioDuraciones() instancia.p[tarea] null null intervalo.inicio Math.max null null null null null null null null null null null null null null null null null null null null null null instancia.d[tarea] instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / instancia.d[tarea] / Math.max null null instancia.p[tarea] Math.max instancia.p[tarea] - null null null null null null instancia.p[tarea] - null null instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ + Math.max intervalo.inicio + + instancia.d[tarea] null null intervalo.inicio instancia.p[tarea] intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / Math.min Math.max Math.max - / promedioDuraciones() instancia.d[tarea] / / Math.max - promedioDuraciones() instancia.p[tarea] null null null null instancia.d[tarea] promedioDuraciones() intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] promedioDuraciones() null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- * Math.max / * instancia.d[tarea] / intervalo.inicio instancia.p[tarea] 0.9 / null null intervalo.inicio 0.9 null null null null null null intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- - Math.max * Math.max instancia.d[tarea] - 0.9 instancia.p[tarea] intervalo.inicio * null null + 0.9 null null null null null null 0.9 instancia.p[tarea] null null null null intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ + Math.max instancia.p[tarea] Math.max Math.max * null null promedioDuraciones() intervalo.inicio * * instancia.p[tarea] * null null null null null null null null * - promedioDuraciones() * null null promedioDuraciones() intervalo.inicio null null null null null null null null null null null null null null null null promedioDuraciones() instancia.d[tarea] instancia.d[tarea] intervalo.inicio null null promedioDuraciones() instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ * Math.pow instancia.p[tarea] Math.sqrt Math.max null null null Math.max null instancia.p[tarea] - null null null null null null instancia.p[tarea] - null null null null instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / / Math.min + instancia.d[tarea] / / + / / null null + + * + instancia.p[tarea] intervalo.inicio * + promedioDuraciones() 0.1 null null null null instancia.p[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] instancia.d[tarea] instancia.d[tarea] instancia.p[tarea] intervalo.inicio null null null null instancia.d[tarea] instancia.d[tarea] promedioDuraciones() intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio + Math.max Math.max null null + promedioDuraciones() / + - instancia.p[tarea] null null null null instancia.p[tarea] promedioDuraciones() null null promedioDuraciones() Math.min 1.0 0.6 instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* + / + Math.max - + Math.max Math.max instancia.d[tarea] + - Math.max + + instancia.p[tarea] - instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio promedioDuraciones() instancia.d[tarea] instancia.d[tarea] + Math.max - instancia.p[tarea] intervalo.inicio null null intervalo.inicio promedioDuraciones() null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.p[tarea] promedioDuraciones() null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- Math.min + * Math.max Math.min * * / - - * * + 0.9 instancia.p[tarea] 0.9 instancia.p[tarea] promedioDuraciones() instancia.p[tarea] + instancia.d[tarea] intervalo.inicio intervalo.inicio 0.9 instancia.p[tarea] 0.9 instancia.p[tarea] instancia.d[tarea] null null null null null null null null null null null null instancia.p[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* - Math.max + null Math.min - + / null null instancia.p[tarea] instancia.p[tarea] instancia.d[tarea] + 0.6 0.5 promedioDuraciones() instancia.p[tarea] null null null null null null null null null null 0.6 Math.min null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + + - instancia.d[tarea] * instancia.d[tarea] Math.min + Math.min null null instancia.p[tarea] 0.2 null null instancia.d[tarea] + instancia.d[tarea] * instancia.d[tarea] + null null null null null null null null null null null null null null intervalo.inicio instancia.p[tarea] null null instancia.p[tarea] 0.2 null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + + * * Math.max + intervalo.inicio Math.max Math.max intervalo.inicio 0.3 - * instancia.d[tarea] instancia.p[tarea] null null instancia.p[tarea] promedioDuraciones() instancia.d[tarea] intervalo.inicio null null null null instancia.d[tarea] intervalo.inicio instancia.p[tarea] 0.9 null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- Math.min Math.max * * instancia.p[tarea] - / instancia.p[tarea] intervalo.inicio 0.5 null null instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ + / intervalo.inicio / + / null null Math.min 0.8 instancia.p[tarea] instancia.d[tarea] Math.min instancia.d[tarea] null null null null + instancia.d[tarea] null null null null null null + instancia.d[tarea] null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ Math.min / / - * + instancia.d[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] - + + promedioDuraciones() null null null null null null null null intervalo.inicio instancia.d[tarea] - instancia.p[tarea] - instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio null null intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* - * - intervalo.inicio / + * instancia.d[tarea] null null Math.max Math.max instancia.d[tarea] - instancia.p[tarea] 0.6 null null null null null null instancia.d[tarea] + instancia.d[tarea] instancia.d[tarea] null null intervalo.inicio promedioDuraciones() null null null null null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / Math.max + + / instancia.d[tarea] intervalo.inicio instancia.p[tarea] Math.max + instancia.p[tarea] 0.3 null null null null null null + instancia.d[tarea] + intervalo.inicio null null null null null null null null null null null null null null null null intervalo.inicio instancia.p[tarea] null null intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
